GeneID	GeneSymbol	389Input_S1	389Neg_S3	389Pos_S5	391Input_S7	391Neg_S9	391Pos_S10	392Input_S11	392Neg_S12	392Pos_S2	396Input_S4	396Neg_S6	396Pos_S8
104348	Zfp120	4.9468427	5.0963387	4.581656	4.340146	4.470001	3.8013277	4.0795465	5.326413	4.5021315	4.638552	3.992982	4.1433177
245174	Zfp937	8.083561	8.667638	5.713911	8.189066	7.587356	5.449013	6.5889893	8.288174	5.215659	8.961634	6.895774	5.443321
71881	Apmap	28.132095	27.950329	32.054153	30.221893	30.18976	34.10882	29.404188	26.15805	38.28279	30.956942	32.871056	38.54981
68738	Acss1	12.805524	12.49685	3.259572	11.132806	13.377532	3.327584	10.211032	12.820843	2.425485	11.149404	12.544412	3.8862746
12497	Entpd6	30.954575	31.32768	35.570827	32.01941	29.466272	41.487164	27.895288	24.468044	33.93732	31.318542	32.958214	40.304714
110078	Pygb	72.45572	76.55318	55.848568	75.35353	83.38701	49.540928	75.12119	91.72997	46.355156	71.406494	75.499596	49.105335
76192	Abhd12	163.37662	161.15317	175.07124	154.62689	156.93921	165.72063	160.83072	158.975	173.30705	145.96707	147.15388	157.7625
78177	Ninl	0.96814096	1.5699332	1.6701728	1.523277	1.8900189	1.6243649	1.5839016	1.7188369	1.5798008	1.7548168	1.6477082	2.0885136
67311	Nanp	17.831104	17.435343	22.45955	16.05534	14.20685	19.007261	15.4086685	12.415686	21.341024	16.602331	15.214161	20.930628
386649	Nsfl1c	95.1365	96.27368	109.191505	93.375305	92.37697	101.3578	90.98275	82.30038	102.97439	93.27344	93.07223	105.43805
14225	Fkbp1a	589.79004	604.31775	661.8529	527.7905	504.8417	594.8048	522.8754	458.45636	620.8023	531.79626	517.5684	593.6405
241727	Snph	94.28934	85.66276	89.70579	86.38146	84.603386	89.84635	81.89716	81.49609	79.04385	88.00899	86.344025	81.04908
228769	Psmf1	9.600939	9.779628	9.18929	9.204822	10.4748335	9.384613	10.003489	10.328347	9.934666	10.007851	11.1179905	8.987259
73847	Fam110a	2.7995749	3.596052	3.0179625	2.3414884	2.9676924	3.4700356	2.47201	2.813279	2.3426406	3.1784825	3.1102808	4.2110705
545474	Scrt2	8.76956	8.536202	7.534683	7.90766	7.4348836	7.624235	7.529414	7.3683634	7.497058	7.9322767	7.2011476	6.6679635
76650	Srxn1	33.808987	33.31904	33.057182	34.680313	33.715828	34.323544	33.983654	33.647194	36.33048	34.11286	34.644382	37.763382
21407	Tcf15	3.6411226	3.5026336	2.923137	2.2237074	2.3012197	2.5525968	2.4454503	1.7882686	3.4456515	2.4072423	1.7541858	1.7979306
12995	Csnk2a1	35.93687	36.05628	39.652752	36.532295	36.32993	38.357635	37.42732	37.048508	38.0561	38.01233	36.7939	39.059124
67231	Tbc1d20	6.62074	6.8324623	6.1502547	8.904963	10.229151	9.850273	10.576745	10.150934	8.988437	10.059876	9.601818	9.234566
24105	Rbck1	27.7392	28.588512	31.253405	27.185507	29.783031	32.915867	32.16343	28.346592	31.878086	29.975998	31.316315	29.782707
228777	Nrsn2	55.724957	61.76975	53.91751	74.13923	71.81067	75.51181	62.576805	54.43876	62.737034	76.87317	77.72416	85.14478
20667	Sox12	6.3666754	7.4951572	3.0235264	8.515018	9.07957	4.4535193	6.2486777	8.4680805	3.4686937	7.6762404	8.351498	3.8844094
67917	Zcchc3	4.2036476	5.1073785	3.3025725	4.310576	5.47658	3.9627197	4.577557	4.885502	3.6356623	5.426179	5.227346	4.0828137
228778	6820408C15Rik	1.3449208	1.6044378	1.4031405	2.0263543	2.159134	1.5480177	2.329851	1.5634897	0.9786787	1.832702	3.2248147	1.0510198
14950	H13	7.155136	8.042357	6.3041754	8.632275	8.792367	7.346094	7.9745216	8.440613	5.9786816	9.44511	9.636874	7.4821987
66405	Mcts2	17.928211	18.983051	18.099232	11.464418	12.742817	16.372398	12.518943	11.906563	16.383022	11.715798	12.727386	14.189115
15901	Id1	12.171885	15.609757	3.4493551	11.9885435	16.054472	3.7324193	11.899028	17.33204	2.3198793	15.131641	16.706255	4.5328603
12048	Bcl2l1	57.257133	57.099934	52.642784	54.06597	52.361336	56.115993	52.325886	52.401485	57.979065	57.88613	55.932423	57.534115
72119	Tpx2	0.61775476	0.72533125	0.41859347	0.6853462	0.7770442	0.45764887	0.5393238	1.0359734	0.5629904	0.6368238	0.75082237	0.51106864
252864	Dusp15	1.7521917	3.4090118	1.6040897	2.3235636	3.2273693	1.9758997	2.3914647	2.8137558	1.1590244	2.5267978	2.414242	1.797639
68559	Pdrg1	33.29202	37.847233	35.2904	32.36403	32.193752	29.936264	31.372814	33.23826	32.562263	33.210896	34.97075	34.98992
99237	Tm9sf4	14.344491	14.04093	14.637907	17.074274	16.827667	17.58188	16.30652	16.688366	16.58733	16.890171	16.232338	18.191187
241732	Tspyl3	8.551956	7.80435	9.454506	8.166808	7.5646863	11.341371	8.408068	6.232454	10.319385	10.002205	8.569153	11.240877
54711	Plagl2	1.4961159	1.8112363	1.013775	1.8368595	1.8194126	1.1103269	1.8885579	1.7183456	0.9044446	1.7835298	1.8183869	0.9730637
140484	Pofut1	3.7263272	3.6011055	2.0745895	4.5673027	5.299112	3.0821204	4.2553234	5.168356	2.7719269	5.3388014	5.267148	3.0461962
16569	Kif3b	11.561216	10.075364	14.236667	12.594759	11.344659	16.03293	11.99081	10.766195	15.750064	12.88043	12.0249405	15.755101
72326	2500004C02Rik	7.223459	8.005982	4.1715994	6.511158	7.3516593	3.5566766	6.407244	8.986626	3.916647	5.9746556	8.515415	4.2401953
228790	Asxl1	6.492056	5.931597	7.186539	7.4708266	7.377682	7.8869247	7.306664	6.900229	7.1378083	7.586372	7.255266	7.480047
329540	8430427H17Rik	7.6440487	7.181836	7.1078033	8.540517	8.0194845	8.076402	8.627405	7.752147	6.5336127	8.74305	8.606706	8.120719
99311	Commd7	11.721056	14.34527	10.862268	11.772894	11.245808	11.054217	12.251868	11.890634	11.454761	13.468208	11.964254	11.965023
13589	Mapre1	15.58807	17.053354	11.8869095	17.24217	17.628271	12.9542265	16.592567	18.89792	12.931061	18.310421	17.302956	13.7981825
66971	Cdk5rap1	5.720357	6.0005	7.372794	5.6647105	5.3314114	6.7629066	4.38929	5.6782303	6.9829435	4.9761515	7.049585	6.6795387
20648	Snta1	25.945436	27.42511	20.551664	24.754238	26.584917	21.017515	25.69481	26.859629	19.955502	25.647255	25.537703	19.83212
12396	Cbfa2t2	7.3097234	6.897217	8.308121	8.068286	8.649897	8.637755	7.9778996	7.4803214	8.787012	7.9941335	7.8247175	9.747353
56846	Necab3	11.829884	10.111476	10.999071	12.997873	11.2076	19.15999	14.0913925	11.73314	16.58254	12.444157	12.838879	16.39997
13555	E2f1	3.026884	2.5290647	2.8116486	3.4863553	3.7516491	3.3329282	3.3758333	2.817567	3.9287963	3.127269	3.6954935	3.380621
59038	Pxmp4	7.192266	6.765885	3.105601	7.6851625	9.035236	5.000728	7.3862777	8.439346	4.5379677	7.876016	8.61765	5.1830263
228807	Zfp341	2.9631865	2.6944108	3.0462122	3.948443	3.237767	3.3827555	3.1032696	2.6153233	3.5387783	3.302893	3.4116654	3.116242
75608	Chmp4b	186.0592	203.68585	190.8191	173.35532	177.09506	184.12062	186.2139	177.71141	198.9704	177.12271	182.90758	190.31094
19383	Raly	50.34131	53.388504	51.5629	49.9403	50.238144	47.03681	48.197678	49.38576	49.120968	48.717102	49.48863	52.812828
67204	Eif2s2	62.07609	70.54484	72.289474	53.19081	49.253822	52.194744	54.62983	56.493397	57.004456	53.06979	53.39714	62.228504
269378	Ahcy	9.969092	10.513822	13.100584	11.394861	10.158495	13.130573	11.468631	10.793283	13.260904	12.194278	11.215995	14.320163
16396	Itch	13.295573	12.671069	12.614639	13.415318	13.455376	13.397621	13.207814	13.393886	13.920374	12.913472	12.031005	13.169813
67068	Dynlrb1	294.7328	327.41498	303.13403	276.52118	290.04556	286.19516	301.45248	291.38727	317.3437	273.99902	292.46524	296.12927
66734	Map1lc3a	213.32542	216.39638	183.66176	194.97418	198.32367	192.47679	202.13348	194.984	219.71088	197.98242	210.8093	206.66263
228812	Pigu	13.459371	16.005854	15.207037	14.552541	15.8947525	13.604754	14.0834465	13.544955	15.904436	14.588763	15.428205	15.3830805
68728	Trp53inp2	40.51156	46.048767	26.406311	41.415947	50.024334	29.826603	42.524788	50.787086	26.249737	45.698322	44.05967	28.56478
56406	Ncoa6	9.738241	8.813171	8.4086075	10.913979	9.507306	8.96837	10.108043	9.573565	8.719209	9.873454	9.181531	8.588751
207182	Ggt7	34.60855	36.57276	42.352757	40.46133	39.988556	47.268272	40.981003	37.894882	49.162136	38.569336	37.668743	47.386818
60525	Acss2	15.622623	15.975608	9.176994	16.601233	18.861113	13.384134	15.901568	19.964539	10.541633	16.081108	16.994179	14.053291
14854	Gss	13.697135	13.917217	14.870981	12.915526	14.343892	12.4550495	13.74673	14.220691	12.568892	12.860919	14.825439	12.009785
668940	Myh7b	1.6940382	1.9012319	2.812955	2.6807773	2.3781497	3.291151	2.0908494	2.2238882	3.525334	1.888279	2.2717826	2.6574204
56407	Trpc4ap	52.858467	49.379807	58.15635	53.582825	50.622314	61.20857	49.459187	49.30863	56.919052	53.110703	49.20414	57.348515
108687	Edem2	9.396501	11.319745	8.827824	9.954841	11.327287	7.5052447	10.228734	12.030064	8.781476	11.142403	10.758714	7.1824155
17391	Mmp24	12.499123	12.079284	11.425414	12.170759	11.358636	12.982409	11.52431	10.333032	12.435707	10.650511	9.938594	11.9420185
613262	BC029722	67.31425	72.43508	60.618694	69.699486	73.8976	69.24688	66.41946	66.73804	65.99268	73.52844	78.26338	70.421646
16418	Eif6	36.53045	37.473812	40.72461	33.0767	32.68352	34.569763	33.011894	31.727255	34.641018	32.429577	31.848469	36.693752
56046	Uqcc	22.431742	21.80045	20.62197	20.756983	21.94943	20.662477	20.607656	21.638966	22.576164	20.894218	21.205475	23.29831
16328	Cep250	4.542147	3.8075185	4.1203823	5.433876	5.671774	4.897407	4.8135777	6.152896	3.779231	5.1854434	5.3232894	3.911304
66366	Ergic3	104.066826	113.30581	85.56471	101.5595	102.41333	96.96881	105.54385	107.8278	95.254654	99.0311	110.51387	97.06773
266692	Cpne1	10.1868725	10.247314	8.400252	12.649166	12.455783	9.3761425	11.592913	14.273275	9.767168	11.158757	12.217063	9.024909
75710	Rbm12	7.536669	5.897022	5.8672895	5.8325624	5.9721026	5.7217283	5.5973673	5.440166	6.0997424	6.052834	5.907814	7.0163784
18041	Nfs1	22.570097	22.952223	25.388496	25.41309	23.396994	25.209452	21.924023	21.478214	25.996279	22.827103	24.062355	26.83127
67067	Romo1	119.34629	116.26736	118.4469	90.692184	89.24176	87.58682	103.221245	86.729324	104.68613	95.63724	102.15008	105.506744
